s,a,ns,N0,N1,vs0,vs1
0.0,0.0,19.0,1.7364498514407969,3.6547321169876046,2.3651,3.5267
0.0,0.0,19.0,1.7364498514407969,3.6547321169876046,2.3651,3.5267
6.0,0.0,19.0,1.8154827885332865,3.6742848574920206,2.3683,3.5225
6.0,0.0,19.0,1.8143577885332869,3.67465985749202,2.356,3.5278
3.0,2.0,19.0,1.5079441893309768,3.608172695882885,2.3478,3.5286
3.0,1.0,19.0,1.5524338815970256,3.6245076741849473,2.347,3.5287
6.0,1.0,19.0,1.906708716859804,3.7449343828254986,2.3466,3.5288
3.0,1.0,19.0,1.5199338815970258,3.626882674184947,2.343,3.5289
7.0,0.0,15.0,3.3836393486059766,3.248724497401523,3.5273,3.1045
7.0,0.0,15.0,3.3835143486059773,3.2488494974015225,3.5278,3.1039999999999996
7.0,0.0,15.0,1.5567643486059768,3.7660994974015223,1.2082,3.6391
7.0,0.0,15.0,1.5705143486059767,3.7654744974015215,1.207,3.6391
7.0,0.0,15.0,1.5552643486059767,3.7660994974015223,1.2011,3.6393
7.0,0.0,15.0,1.5552643486059767,3.7660994974015223,1.2011,3.6393
7.0,0.0,15.0,1.5552643486059767,3.7660994974015223,1.2011,3.6393
