Value0,Value1,Rollout,Runtime,Method
2.6429093619601454,2.881409432203768,159,5.628599643707275,mls
2.5062692793236003,2.98430353407862,160,6.101857662200928,mls
2.2273960390235783,3.4613708082772146,161,7.905666828155518,mls
2.6633123051945735,3.126880853520586,162,7.589512825012207,mls
2.813599429142135,3.1404711492506445,163,5.978924036026001,mls
2.140849278985245,3.0250421845898128,164,9.624599695205688,mls
1.9874012059565143,2.893731859610925,165,5.6511290073394775,mls
1.7868952347945244,3.1823991573374837,166,9.657625198364258,mls
2.5620760897979205,3.1600768052844606,167,8.09894847869873,mls
2.210446277584769,3.071928867893879,168,7.3214826583862305,mls
2.297357915785585,3.281347331472379,169,8.442569971084595,mls
2.1421883349564563,3.051261040569259,170,9.54628872871399,mls
3.44269294822909,3.1103969716904447,171,6.640369653701782,mls
2.440793086138978,3.2173805124243553,172,6.583393335342407,mls
2.3474891998339675,3.5995600696926706,173,8.318341732025146,mls
2.67550362113841,3.2184120753574996,174,6.75419545173645,mls
1.7272068192907586,3.3754225850427826,175,6.018118619918823,mls
2.2804782665364765,3.1459701540862057,176,4.701682806015015,mls
2.634921836287622,3.252807752996644,177,6.619930982589722,mls
2.479019312041287,3.295072481634841,178,8.048283815383911,mls
2.659948848969462,3.8137474813635435,179,5.848033428192139,mls
2.3460348406379383,3.2141597719081636,180,6.5434980392456055,mls
3.0911374555797164,3.33254877370971,181,5.924931049346924,mls
2.1465960978420204,3.448189724766168,182,6.281308650970459,mls
2.917871919952719,3.376314319207763,183,5.89039158821106,mls
1.5270548361213157,3.359372297978433,184,6.928664207458496,mls
1.795935914563544,3.171073768003702,185,6.628785848617554,mls
2.2081374213235123,3.3043268570348276,186,6.662564992904663,mls
2.9282792245386715,3.2765226472541564,187,5.630065679550171,mls
2.3285153934520064,3.200247965619199,188,7.112886905670166,mls
2.609913796767507,3.3680950651410333,189,6.66673731803894,mls
2.187442671108132,3.1997189799321206,190,6.587550640106201,mls
2.0729902605985,3.3955092746578064,191,5.673343896865845,mls
2.3067985749388678,2.868221916594902,192,6.017428398132324,mls
2.4735377543337846,3.2581356842884053,193,6.307941913604736,mls
2.606218332103023,2.9517684204343673,194,5.696438312530518,mls
2.3232271054604965,3.2112578716422298,195,6.679340600967407,mls
2.4213263377921956,3.4367051090603207,196,4.5828399658203125,mls
2.303327949912052,3.479458362486019,197,5.389007329940796,mls
2.4706975551722605,3.2380478585527244,198,5.860793828964233,mls
2.383024600773106,3.5442050070053956,199,6.711110591888428,mls
