Value0,Value1,Rollout,Runtime,Method
2.6274982294817186,2.9085855087929278,62,5.4367029666900635,ls
2.6715764425233806,2.935665621732159,63,5.247536897659302,ls
2.5814463439666806,2.571916367239375,64,5.281071662902832,ls
2.768291698292605,2.270472121634486,65,5.734679698944092,ls
2.4564928108648374,3.3278873485325695,66,5.429092884063721,ls
2.694426702833658,3.264513240916928,67,5.105372428894043,ls
2.536609829964017,2.968391689842837,68,5.937575578689575,ls
2.9043070478190227,2.558029757008081,69,6.895483016967773,ls
2.9392207410195224,2.346516102848167,70,5.386237621307373,ls
2.8681277686308184,2.399943030770363,71,7.17323112487793,ls
2.4822122880281,2.849664975086467,72,4.920073747634888,ls
2.13176960246215,3.2784139005596646,73,6.500070571899414,ls
2.395296296878714,3.511885382050419,74,4.902902603149414,ls
3.2310023841327333,2.6738198792196575,75,6.35252046585083,ls
2.876442111870608,2.342952546566151,76,5.421242713928223,ls
2.21168891454706,3.4376928827932764,77,5.3771750926971436,ls
2.981130647192137,2.761494940337994,78,5.770780801773071,ls
2.548094566546346,2.338726731745165,79,5.905577182769775,ls
2.5421147930257115,3.5608480046741877,80,6.999706745147705,ls
2.4323504530271634,2.724930908458754,81,6.786070108413696,ls
2.4014810548503784,2.7186836051463117,82,6.056149959564209,ls
2.975484733980272,3.079919064277287,83,6.192872524261475,ls
2.4231513119549333,3.46823663988204,84,5.202188968658447,ls
2.3276118599645286,2.5920043814143905,85,5.660036087036133,ls
2.9882370081620837,3.1973780659103452,86,5.383324146270752,ls
2.714955294343143,2.2521636424693683,87,5.457300424575806,ls
2.5928160536402616,2.616134562810697,88,5.454250335693359,ls
2.5659617093465306,2.90202763158611,89,5.450216770172119,ls
2.5331183927561622,3.417027057964683,90,7.993713855743408,ls
2.664268192580135,2.61783388887455,91,5.5430145263671875,ls
2.7795404866471465,2.98795930112879,92,5.8797032833099365,ls
2.7980641330342495,2.508536342976635,93,6.012120485305786,ls
3.050673688018975,2.7061325832400875,94,5.423748016357422,ls
2.805541815372724,2.2076987395093206,95,5.77467942237854,ls
2.5894702637260663,2.793883556781738,96,5.351902723312378,ls
2.377817931651497,3.485458718228006,97,4.986637353897095,ls
2.5548485013783844,2.6047951491648464,98,5.437812805175781,ls
2.956302333849995,3.096676679265666,99,6.241262435913086,ls
2.941277258867992,2.2701505016537764,100,5.711105585098267,ls
2.7630469788176875,2.680553791259865,101,6.367685794830322,ls
2.7256791855070586,2.514690587081042,102,5.734095573425293,ls
2.371357378387957,2.5017674937327152,103,4.935496091842651,ls
2.6813782677709317,2.010396907298846,104,5.272381067276001,ls
2.613963116052015,2.9901112891362627,105,5.782266616821289,ls
2.6802406483124046,2.570958492797338,106,5.731308937072754,ls
2.717964957723807,2.4781828498885776,107,4.995349645614624,ls
2.695686226827308,2.4716556949462802,108,5.887961149215698,ls
2.841249240831413,2.812310513616585,109,5.2874743938446045,ls
