Value0,Value1,Rollout,Runtime
1.4549737094689656,3.48792533026373,50.0,0.08194994926452637
1.8232751886070597,3.5527005918701158,51.0,0.08084797859191895
1.4782648371153375,3.432640380464814,52.0,0.07945990562438965
1.359135247092265,3.248731254871347,53.0,0.07967305183410645
1.5147374121034483,3.1826833054899075,54.0,0.07916378974914551
1.7088251115803095,3.276162351026207,55.0,0.07925701141357422
1.634001518819704,3.4021216530409712,56.0,0.07947897911071777
1.3090445747129222,3.236005123513543,57.0,0.08177781105041504
1.444353952278066,3.024455677716211,58.0,0.08000898361206055
1.0855978834488125,3.220980149588512,59.0,0.08070826530456543
1.902756446534177,3.465657071765744,60.0,0.08244180679321289
1.9029379429657223,3.8080782053758613,61.0,0.08423781394958496
1.7398164246209433,3.5283119130260543,62.0,0.08065390586853027
1.8136854812954597,3.5700349626967878,63.0,0.08307409286499023
1.3711585289988915,3.558867304203894,64.0,0.07969903945922852
1.2606850647859729,3.6871899024217165,65.0,0.08007001876831055
1.2752489024757003,3.9755802826308098,66.0,0.07941198348999023
1.5874654268555186,3.2222252605436656,67.0,0.08155179023742676
1.6375777803764326,3.7651143973055774,68.0,0.0827639102935791
1.6339413274652683,3.3729912458279268,69.0,0.08213090896606445
1.5334990426224884,3.4214311317684265,70.0,0.07964706420898438
1.305386361088646,3.493521909831814,71.0,0.07945680618286133
1.6266336109315471,3.2697073333531477,72.0,0.08286905288696289
1.4681746577669248,3.465356175929281,73.0,0.08156394958496094
1.3939764449559282,3.4578124002266866,74.0,0.08407187461853027
1.5547660586319283,3.7524915304207,75.0,0.08733010292053223
1.9383863179003602,3.220579600001897,76.0,0.08234286308288574
2.3732819590320617,3.595951837767319,77.0,0.08142590522766113
2.0609511985922673,3.977718175603676,78.0,0.08047103881835938
1.4876621737066864,3.2969416508193103,79.0,0.08034610748291016
2.3338045370983633,3.516535556884074,80.0,0.07991409301757812
1.4734379860106543,3.2441564955545727,81.0,0.08147788047790527
1.543528417359859,3.364995520266343,82.0,0.08039593696594238
1.27714918438246,3.408001324916247,83.0,0.08031606674194336
1.3817180772526345,3.2588857206657056,84.0,0.08106112480163574
1.5146067756408452,3.119351285023263,85.0,0.0811769962310791
1.7890694440071215,3.633277768343184,86.0,0.08012509346008301
1.5767080499994053,3.026384273218618,87.0,0.08126997947692871
1.616670595528688,3.5387896727719115,88.0,0.08126497268676758
2.2690527563143297,3.823493494788392,89.0,0.0794670581817627
1.7454568544651052,3.727067862879726,90.0,0.07967996597290039
1.0838108063007383,3.6651861765321625,91.0,0.07998299598693848
1.4844144751442638,3.727431519487433,92.0,0.08034777641296387
1.1703382980150705,3.5235458155793626,93.0,0.08208107948303223
1.447375582812869,3.5604929735852067,94.0,0.08241987228393555
1.6523330011881052,3.3236369813346536,95.0,0.07996106147766113
1.1533922831975616,3.5534336725859235,96.0,0.07995128631591797
1.5930844159036261,3.658409650144338,97.0,0.08241081237792969
1.1256754544567193,3.4206283785739773,98.0,0.08128094673156738
2.105026365623507,3.7988162389133557,99.0,0.08006691932678223
